Season,Year,Tour,Week,Date,Tournament,Location,Winner,Score,1st prize ($),Purse ($),OWGR points,Notes,TournamentURL,TournamentRedirectURL,PlayerURL
1960,1960,PGA,2,12-Jan,Los Angeles Open,California,Dow Finsterwald (9),280 (-4),"5,500",,,,/wiki/Los_Angeles_Open,/wiki/Los_Angeles_Open,/wiki/Dow_Finsterwald
1960,1960,PGA,3,18-Jan,Yorba Linda Open Invitational,California,Jerry Barber (3),278 (-10),"2,800",,,,/wiki/Yorba_Linda_Open_Invitational,/wiki/Yorba_Linda_Open_Invitational,/wiki/Jerry_Barber
1960,1960,PGA,4,24-Jan,Bing Crosby National Pro-Am,California,Ken Venturi (9),286 (-2),"4,000",,,,/wiki/Bing_Crosby_National_Pro-Am,/wiki/AT%26T_Pebble_Beach_Pro-Am,/wiki/Ken_Venturi
1960,1960,PGA,5,31-Jan,San Diego Open Invitational,California,Mike Souchak (11),269 (-19),"2,800",,,,/wiki/San_Diego_Open_Invitational,/wiki/Farmers_Insurance_Open,/wiki/Mike_Souchak
1960,1960,PGA,6,7-Feb,Palm Springs Desert Golf Classic,California,Arnold Palmer (14),338 (-20),"12,000",,,,/wiki/Palm_Springs_Desert_Golf_Classic,/wiki/CareerBuilder_Challenge,/wiki/Arnold_Palmer
1960,1960,PGA,7,15-Feb,Phoenix Open Invitational,Arizona,Jack Fleck (2),273 (-11),"3,150",,,,/wiki/Phoenix_Open_Invitational,/wiki/Phoenix_Open,/wiki/Jack_Fleck
1960,1960,PGA,8,21-Feb,Tucson Open Invitational,Arizona,Don January (2),271 (-9),"2,800",,,,/wiki/Tucson_Open_Invitational,/wiki/Tucson_Open,/wiki/Don_January
1960,1960,PGA,9,28-Feb,Texas Open Invitational,Texas,Arnold Palmer (15),276 (-12),"2,800",,,,/wiki/Texas_Open_Invitational,/wiki/Valero_Texas_Open,/wiki/Arnold_Palmer
1960,1960,PGA,10,6-Mar,Baton Rouge Open Invitational,Louisiana,Arnold Palmer (16),279 (-9),"2,000",,,,/wiki/Baton_Rouge_Open_Invitational,/wiki/Baton_Rouge_Open_Invitational,/wiki/Arnold_Palmer
1960,1960,PGA,11,13-Mar,Pensacola Open Invitational,Florida,Arnold Palmer (17),273 (-15),"2,000",,,,/wiki/Pensacola_Open_Invitational,/wiki/Pensacola_Open,/wiki/Arnold_Palmer
1960,1960,PGA,12,21-Mar,St. Petersburg Open Invitational,Florida,George Bayer (4),282 (-6),"2,000",,,,/wiki/St._Petersburg_Open_Invitational,/wiki/St._Petersburg_Open_Invitational,/wiki/George_Bayer
1960,1960,PGA,13,27-Mar,De Soto Open Invitational,Florida,Sam Snead (79),276 (-8),"5,300",,,,/wiki/De_Soto_Open_Invitational,/wiki/De_Soto_Open_Invitational,/wiki/Sam_Snead
1960,1960,PGA,14,3-Apr,Azalea Open,North Carolina,Tom Nieporte (2),277 (-11),"2,000",,,,/wiki/Azalea_Open,/wiki/Azalea_Open_Invitational,/wiki/Tom_Nieporte
1960,1960,MAJ,15,10-Apr,Masters Tournament,Georgia,Arnold Palmer (18),282 (-6),"17,500",,,Major championship,/wiki/1960_Masters_Tournament,/wiki/1960_Masters_Tournament,/wiki/Arnold_Palmer
1960,1960,PGA,16,17-Apr,Greater Greensboro Open,North Carolina,Sam Snead (80),270 (-14),"2,800",,,,/wiki/Greater_Greensboro_Open,/wiki/Wyndham_Championship,/wiki/Sam_Snead
1960,1960,PGA,17,24-Apr,Greater New Orleans Open Invitational,Louisiana,Dow Finsterwald (10),270 (-18),"3,500",,,,/wiki/Greater_New_Orleans_Open_Invitational,/wiki/Zurich_Classic_of_New_Orleans,/wiki/Dow_Finsterwald
1960,1960,PGA,18,3-May,Houston Classic,Texas,Bill Collins (2),280 (-8),"5,300",,,,/wiki/Houston_Classic,/wiki/Houston_Open,/wiki/Bill_Collins_(golfer)
1960,1960,PGA,19,8-May,Tournament of Champions,Nevada,Jerry Barber (4),268 (-20),"10,000",,,,/wiki/Tournament_of_Champions_(PGA_Tour),/wiki/Tournament_of_Champions_%28golf%29,/wiki/Jerry_Barber
1960,1960,PGA,20,15-May,Colonial National Invitation,Texas,Julius Boros (9),280 (E),"5,000",,,,/wiki/Colonial_National_Invitation,/wiki/Dean_%26_DeLuca_Invitational,/wiki/Julius_Boros
1960,1960,PGA,21,22-May,Hot Springs Open Invitational,Arkansas,Bill Collins (3),275 (-13),"2,800",,,,/wiki/Hot_Springs_Open_Invitational,/wiki/Arlington_Hotel_Open,/wiki/Bill_Collins_(golfer)
1960,1960,PGA,21,22-May,Sam Snead Festival,West Virginia,Dave Marr (n/a),265 (-15),"2,000",,,,/wiki/Sam_Snead_Festival,/wiki/Sam_Snead_Festival,/wiki/Dave_Marr
1960,1960,PGA,22,29-May,500 Festival Open Invitation,Indiana,Doug Ford (15),270 (-14),"9,000",,,,/wiki/500_Festival_Open_Invitation,/wiki/500_Festival_Open_Invitation,/wiki/Doug_Ford_(golfer)
1960,1960,PGA,23,6-Jun,Memphis Open Invitational,Tennessee,Tommy Bolt (14),273 (-7),"4,300",,,,/wiki/Memphis_Open_Invitational,/wiki/St._Jude_Classic,/wiki/Tommy_Bolt
1960,1960,PGA,24,12-Jun,Oklahoma City Open Invitational,Oklahoma,Gene Littler (15),273 (-11),"4,300",,,,/wiki/Oklahoma_City_Open_Invitational,/wiki/Oklahoma_City_Open_Invitational,/wiki/Gene_Littler
1960,1960,MAJ,25,18-Jun,U.S. Open,Colorado,Arnold Palmer (19),280 (-4),"14,400",,,Major championship,/wiki/1960_U.S._Open_(golf),/wiki/1960_U.S._Open_(golf),/wiki/Arnold_Palmer
1960,1960,PGA,27,4-Jul,Buick Open Invitational,Michigan,Mike Souchak (12),282 (-6),"9,000",,,,/wiki/Buick_Open_Invitational,/wiki/Buick_Open,/wiki/Mike_Souchak
1960,1960,MAJ,28,9-Jul,The Open Championship,Scotland,Kel Nagle (1),278 (-10),"3,500",,,Major championship,/wiki/1960_Open_Championship,/wiki/1960_Open_Championship,/wiki/Kel_Nagle
1960,1960,PGA,28,9-Jul,Canadian Open,Canada,"Art Wall, Jr. (11)",269 (-19),"3,500",,,,/wiki/Canadian_Open_(golf),/wiki/Canadian_Open_(golf),"/wiki/Art_Wall,_Jr."
1960,1960,PGA,29,17-Jul,Western Open,Michigan,Stan Leonard (3),278 (-10),"5,000",,,,/wiki/Western_Open,/wiki/Western_Open,/wiki/Stan_Leonard
1960,1960,MAJ,30,24-Jul,PGA Championship,Ohio,Jay Hebert (5),281 (+1),"11,000",,,Major championship,/wiki/1960_PGA_Championship,/wiki/1960_PGA_Championship,/wiki/Jay_Hebert
1960,1960,PGA,31,31-Jul,Eastern Open Invitational,Maryland,Gene Littler (16),273 (-15),"3,500",,,,/wiki/Eastern_Open_Invitational,/wiki/Eastern_Open_Invitational,/wiki/Gene_Littler
1960,1960,PGA,32,7-Aug,Insurance City Open Invitational,Connecticut,Arnold Palmer (20),270 (-14),"3,500",,,,/wiki/Insurance_City_Open_Invitational,/wiki/Travelers_Championship,/wiki/Arnold_Palmer
1960,1960,PGA,34,21-Aug,St. Paul Open Invitational,Minnesota,Don Fairfield (2),266 (-22),"4,300",,,,/wiki/St._Paul_Open_Invitational,/wiki/St._Paul_Open_Invitational,/wiki/Don_Fairfield
1960,1960,PGA,35,28-Aug,Milwaukee Open Invitational,Wisconsin,Ken Venturi (10),271 (-9),"4,300",,,,/wiki/Milwaukee_Open_Invitational,/wiki/Milwaukee_Open_Invitational,/wiki/Ken_Venturi
1960,1960,PGA,36,5-Sep,Dallas Open Invitational,Texas,Johnny Pott (1),275 (-5),"3,500",,,,/wiki/Dallas_Open_Invitational,/wiki/AT%26T_Byron_Nelson,/wiki/Johnny_Pott
1960,1960,PGA,37,12-Sep,Utah Open Invitational,Utah,Bill Johnston (2),262 (-22),"2,800",,,,/wiki/Utah_Open_Invitational,/wiki/Utah_Open,/wiki/Bill_Johnston_(golfer)
1960,1960,PGA,38,18-Sep,Carling Open Invitational,Washington,Ernie Vossler (3),272 (-12),"3,500",,,,/wiki/Carling_Open_Invitational,/wiki/Carling_World_Open,/wiki/Ernie_Vossler
1960,1960,PGA,39,25-Sep,Portland Open Invitational,Oregon,Billy Casper (11),266 (-22),"2,800",,,,/wiki/Portland_Open_Invitational,/wiki/Portland_Open_Invitational,/wiki/Billy_Casper
1960,1960,PGA,40,3-Oct,Hesperia Open Invitational,California,Billy Casper (12),275 (-13),"2,000",,,,/wiki/Hesperia_Open_Invitational,/wiki/Hesperia_Open_Invitational,/wiki/Billy_Casper
1960,1960,PGA,42,16-Oct,Orange County Open Invitational,California,Billy Casper (13),276 (-8),"2,000",,,,/wiki/Orange_County_Open_Invitational,/wiki/Orange_County_Open_Invitational,/wiki/Billy_Casper
1960,1960,PGA,47,20-Nov,Cajun Classic,Louisiana,Lionel Hebert (3),272 (-12),"2,000",,,,/wiki/Cajun_Classic,/wiki/Cajun_Classic_Open_Invitational,/wiki/Lionel_Hebert
1960,1960,PGA,48,27-Nov,Mobile Sertoma Open Invitational,Alabama,Arnold Palmer (21),274 (-14),"2,000",,,,/wiki/Mobile_Sertoma_Open_Invitational,/wiki/Mobile_Sertoma_Open_Invitational,/wiki/Arnold_Palmer
1960,1960,PGA,49,4-Dec,West Palm Beach Open Invitational,Florida,Johnny Pott (2),278 (-10),"2,000",,,,/wiki/West_Palm_Beach_Open_Invitational,/wiki/West_Palm_Beach_Open_Invitational,/wiki/Johnny_Pott
1960,1960,PGA,50,11-Dec,Coral Gables Open Invitational,Florida,Bob Goalby (2),272 (-12),"2,800",,,,/wiki/Coral_Gables_Open_Invitational,/wiki/Coral_Gables_Open_Invitational,/wiki/Bob_Goalby
1961,1961,PGA,1,9-Jan,Los Angeles Open,California,Bob Goalby (3),275 (-9),"7,500",,,,/wiki/Los_Angeles_Open,/wiki/Los_Angeles_Open,/wiki/Bob_Goalby
1961,1961,PGA,2,15-Jan,San Diego Open Invitational,California,Arnold Palmer (22),271 (-13),"2,800",,,,/wiki/San_Diego_Open_Invitational,/wiki/Farmers_Insurance_Open,/wiki/Arnold_Palmer
1961,1961,PGA,3,22-Jan,Bing Crosby National Pro-Am,California,Bob Rosburg (5),282 (-6),"5,300",,,,/wiki/Bing_Crosby_National_Pro-Am,/wiki/AT%26T_Pebble_Beach_Pro-Am,/wiki/Bob_Rosburg
1961,1961,PGA,4,29-Jan,Lucky International,California,Gary Player (3),272 (-12),"9,000",,,,/wiki/Lucky_International,/wiki/Lucky_International_Open,/wiki/Gary_Player
1961,1961,PGA,5,5-Feb,Palm Springs Golf Classic,California,Billy Maxwell (5),345 (-14),"5,300",,,,/wiki/Palm_Springs_Golf_Classic,/wiki/CareerBuilder_Challenge,/wiki/Billy_Maxwell
1961,1961,PGA,6,13-Feb,Phoenix Open Invitational,Arizona,Arnold Palmer (23),270 (-10),"4,300",,,,/wiki/Phoenix_Open_Invitational,/wiki/Phoenix_Open,/wiki/Arnold_Palmer
1961,1961,PGA,7,19-Feb,Home of the Sun Open,Arizona,Dave Hill (1),269 (-11),"2,800",,,,/wiki/Home_of_the_Sun_Open,/wiki/Tucson_Open,/wiki/Dave_Hill_(golfer)
1961,1961,PGA,8,26-Feb,Baton Rouge Open Invitational,Louisiana,Arnold Palmer (24),266 (-14),"2,800",,,,/wiki/Baton_Rouge_Open_Invitational,/wiki/Baton_Rouge_Open_Invitational,/wiki/Arnold_Palmer
1961,1961,PGA,9,5-Mar,Greater New Orleans Open Invitational,Louisiana,Doug Sanders (4),272 (-16),"4,300",,,,/wiki/Greater_New_Orleans_Open_Invitational,/wiki/Zurich_Classic_of_New_Orleans,/wiki/Doug_Sanders
1961,1961,PGA,10,12-Mar,Pensacola Open Invitational,Florida,Tommy Bolt (15),275 (-13),"2,800",,,,/wiki/Pensacola_Open_Invitational,/wiki/Pensacola_Open,/wiki/Tommy_Bolt
1961,1961,PGA,11,19-Mar,St. Petersburg Open Invitational,Florida,Bob Goalby (4),261 (-23),"2,800",,,,/wiki/St._Petersburg_Open_Invitational,/wiki/St._Petersburg_Open_Invitational,/wiki/Bob_Goalby
1961,1961,PGA,12,26-Mar,Sunshine Open Invitational,Florida,Gary Player (4),273 (-15),"3,500",,,,/wiki/Sunshine_Open_Invitational,/wiki/Sunshine_Open_Invitational,/wiki/Gary_Player
1961,1961,PGA,13,2-Apr,Azalea Open,North Carolina,Jerry Barber (5),213 (-3),"1,200",,,,/wiki/Azalea_Open,/wiki/Azalea_Open_Invitational,/wiki/Jerry_Barber
1961,1961,MAJ,14,10-Apr,Masters Tournament,Georgia,Gary Player (5),280 (-8),"20,000",,,Major championship,/wiki/1961_Masters_Tournament,/wiki/1961_Masters_Tournament,/wiki/Gary_Player
1961,1961,PGA,15,16-Apr,Greater Greensboro Open,North Carolina,Mike Souchak (13),276 (-8),"3,200",,,,/wiki/Greater_Greensboro_Open,/wiki/Wyndham_Championship,/wiki/Mike_Souchak
1961,1961,PGA,16,24-Apr,Houston Classic,Texas,Jay Hebert (6),276 (-4),"7,000",,,,/wiki/Houston_Classic,/wiki/Houston_Open,/wiki/Jay_Hebert
1961,1961,PGA,17,30-Apr,Texas Open Invitational,Texas,Arnold Palmer (25),270 (-14),"4,300",,,,/wiki/Texas_Open_Invitational,/wiki/Valero_Texas_Open,/wiki/Arnold_Palmer
1961,1961,PGA,18,7-May,Tournament of Champions,Nevada,Sam Snead (81),273 (-15),"10,000",,,,/wiki/Tournament_of_Champions_(PGA_Tour),/wiki/Tournament_of_Champions_%28golf%29,/wiki/Sam_Snead
1961,1961,PGA,18,7-May,Waco Turner Open,Oklahoma,Butch Baird (1),281 (-11),"2,800",,,,/wiki/Waco_Turner_Open,/wiki/Waco_Turner_Open,/wiki/Butch_Baird
1961,1961,PGA,19,14-May,Colonial National Invitation,Texas,Doug Sanders (5),281 (+1),"7,000",,,,/wiki/Colonial_National_Invitation,/wiki/Dean_%26_DeLuca_Invitational,/wiki/Doug_Sanders
1961,1961,PGA,20,21-May,Hot Springs Open Invitational,Arkansas,Doug Sanders (6),273 (-15),"2,800",,,,/wiki/Hot_Springs_Open_Invitational,/wiki/Arlington_Hotel_Open,/wiki/Doug_Sanders
1961,1961,PGA,21,28-May,500 Festival Open Invitation,Indiana,Doug Ford (16),273 (-11),"9,000",,,,/wiki/500_Festival_Open_Invitation,/wiki/500_Festival_Open_Invitation,/wiki/Doug_Ford_(golfer)
1961,1961,PGA,22,4-Jun,Memphis Open Invitational,Tennessee,Cary Middlecoff (39),266 (-14),"4,300",,,,/wiki/Memphis_Open_Invitational,/wiki/St._Jude_Classic,/wiki/Cary_Middlecoff
1961,1961,MAJ,24,17-Jun,U.S. Open,Michigan,Gene Littler (17),281 (+1),"14,000",,,Major championship,/wiki/1961_U.S._Open_(golf),/wiki/1961_U.S._Open_(golf),/wiki/Gene_Littler
1961,1961,PGA,25,25-Jun,Western Open,Michigan,Arnold Palmer (26),271 (-13),"5,000",,,,/wiki/Western_Open,/wiki/Western_Open,/wiki/Arnold_Palmer
1961,1961,PGA,26,3-Jul,Buick Open Invitational,Michigan,"Jack Burke, Jr. (15)",284 (-4),"9,000",,,,/wiki/Buick_Open_Invitational,/wiki/Buick_Open,"/wiki/Jack_Burke,_Jr."
1961,1961,PGA,27,9-Jul,St. Paul Open Invitational,Minnesota,Don January (3),269 (-19),"4,300",,,,/wiki/St._Paul_Open_Invitational,/wiki/St._Paul_Open_Invitational,/wiki/Don_January
1961,1961,PGA,28,15-Jul,Canadian Open,Canada,Jacky Cupit (1),270 (-10),"4,300",,,,/wiki/Canadian_Open_(golf),/wiki/Canadian_Open_(golf),/wiki/Jacky_Cupit
1961,1961,MAJ,28,15-Jul,The Open Championship,England,Arnold Palmer (27),284 (-4),"3,920",,,Major championship,/wiki/1961_Open_Championship,/wiki/1961_Open_Championship,/wiki/Arnold_Palmer
1961,1961,PGA,29,23-Jul,Milwaukee Open Invitational,Wisconsin,Bruce Crampton (1),272 (-8),"4,300",,,,/wiki/Milwaukee_Open_Invitational,/wiki/Milwaukee_Open_Invitational,/wiki/Bruce_Crampton
1961,1961,MAJ,30,31-Jul,PGA Championship,Illinois,Jerry Barber (6),277 (-3),"11,000",,,Major championship,/wiki/1961_PGA_Championship,/wiki/1961_PGA_Championship,/wiki/Jerry_Barber
1961,1961,PGA,31,6-Aug,Eastern Open Invitational,Maryland,Doug Sanders (7),275 (-13),"5,300",,,,/wiki/Eastern_Open_Invitational,/wiki/Eastern_Open_Invitational,/wiki/Doug_Sanders
1961,1961,PGA,32,13-Aug,Insurance City Open Invitational,Connecticut,Billy Maxwell (6),271 (-13),"4,300",,,,/wiki/Insurance_City_Open_Invitational,/wiki/Travelers_Championship,/wiki/Billy_Maxwell
1961,1961,PGA,33,20-Aug,Carling Open Invitational,Maryland,Gay Brewer (1),277 (-3),"5,300",,,,/wiki/Carling_Open_Invitational,/wiki/Carling_World_Open,/wiki/Gay_Brewer
1961,1961,PGA,34,27-Aug,American Golf Classic,Ohio,Jay Hebert (7),278 (-2),"9,000",,,,/wiki/American_Golf_Classic,/wiki/American_Golf_Classic,/wiki/Jay_Hebert
1961,1961,PGA,35,4-Sep,Dallas Open Invitational,Texas,Earl Stewart (3),278 (-2),"4,300",,,,/wiki/Dallas_Open_Invitational,/wiki/AT%26T_Byron_Nelson,/wiki/Earl_Stewart
1961,1961,PGA,36,10-Sep,Denver Open Invitational,Colorado,Dave Hill (2),263 (-21),"3,500",,,,/wiki/Denver_Open_Invitational,/wiki/Denver_Open_Invitational,/wiki/Dave_Hill_(golfer)
1961,1961,PGA,37,17-Sep,Greater Seattle Open Invitational,Washington,Dave Marr (1),265 (-15),"3,500",,,,/wiki/Greater_Seattle_Open_Invitational,/wiki/Seattle_Open_Invitational,/wiki/Dave_Marr
1961,1961,PGA,38,24-Sep,Portland Open Invitational,Oregon,Billy Casper (14),273 (-15),"3,500",,,,/wiki/Portland_Open_Invitational,/wiki/Portland_Open_Invitational,/wiki/Billy_Casper
1961,1961,PGA,39,1-Oct,Bakersfield Open,California,Jack Fleck (3),276 (-8),"3,500",,,,/wiki/Bakersfield_Open_Invitational,/wiki/Bakersfield_Open_Invitational,/wiki/Jack_Fleck
1961,1961,PGA,41,15-Oct,Ontario Open,California,Eric Monti (3),277 (-3),"2,800",,,,/wiki/Ontario_Open,/wiki/Ontario_Open,/wiki/Eric_Monti
1961,1961,PGA,42,22-Oct,Orange County Open Invitational,California,Bob McCallister (1),278 (-6),"2,400",,,,/wiki/Orange_County_Open_Invitational,/wiki/Orange_County_Open_Invitational,/wiki/Bob_McCallister
1961,1961,PGA,44,5-Nov,Almaden Open Invitational,California,Jim Ferrier (18),279 (-9),"1,200",,,,/wiki/Almaden_Open_Invitational,/wiki/Almaden_Open,/wiki/Jim_Ferrier
1961,1961,PGA,45,12-Nov,Beaumont Open Invitational,Texas,Joe Campbell (1),277 (-7),"2,800",,,,/wiki/Beaumont_Open_Invitational,/wiki/Beaumont_Open_Invitational,/wiki/Joe_Campbell_(golfer)
1961,1961,PGA,46,19-Nov,Cajun Classic Open Invitational,Louisiana,Doug Sanders (8),270 (-14),"2,000",,,,/wiki/Cajun_Classic_Open_Invitational,/wiki/Cajun_Classic_Open_Invitational,/wiki/Doug_Sanders
1961,1961,PGA,47,26-Nov,Mobile Sertoma Open Invitational,Alabama,Gay Brewer (2),275 (-13),"2,000",,,,/wiki/Mobile_Sertoma_Open_Invitational,/wiki/Mobile_Sertoma_Open_Invitational,/wiki/Gay_Brewer
1961,1961,PGA,48,3-Dec,West Palm Beach Open Invitational,Florida,Gay Brewer (3),274 (-14),"2,800",,,,/wiki/West_Palm_Beach_Open_Invitational,/wiki/West_Palm_Beach_Open_Invitational,/wiki/Gay_Brewer
1961,1961,PGA,49,10-Dec,Coral Gables Open Invitational,Florida,George Knudson (1),273 (-11),"2,800",,,,/wiki/Coral_Gables_Open_Invitational,/wiki/Coral_Gables_Open_Invitational,/wiki/George_Knudson
1962,1962,PGA,1,8-Jan,Los Angeles Open,California,Phil Rodgers (1),268 (-16),"7,500",,,,/wiki/Los_Angeles_Open,/wiki/Los_Angeles_Open,/wiki/Phil_Rodgers
1962,1962,PGA,2,14-Jan,San Diego Open Invitational,California,Tommy Jacobs (2),277 (-7),"3,500",,,,/wiki/San_Diego_Open_Invitational,/wiki/Farmers_Insurance_Open,/wiki/Tommy_Jacobs
1962,1962,PGA,3,22-Jan,Bing Crosby National Pro-Am,California,Doug Ford (17),286 (-2),"5,300",,,,/wiki/Bing_Crosby_National_Pro-Am,/wiki/AT%26T_Pebble_Beach_Pro-Am,/wiki/Doug_Ford_(golfer)
1962,1962,PGA,4,28-Jan,Lucky International Open,California,Gene Littler (18),274 (-10),"9,000",,,,/wiki/Lucky_International_Open,/wiki/Lucky_International_Open,/wiki/Gene_Littler
1962,1962,PGA,5,4-Feb,Palm Springs Golf Classic,California,Arnold Palmer (28),342 (-17),"5,300",,,,/wiki/Palm_Springs_Golf_Classic,/wiki/CareerBuilder_Challenge,/wiki/Arnold_Palmer
1962,1962,PGA,6,11-Feb,Phoenix Open Invitational,Arizona,Arnold Palmer (29),269 (-15),"5,300",,,,/wiki/Phoenix_Open_Invitational,/wiki/Phoenix_Open,/wiki/Arnold_Palmer
1962,1962,PGA,7,18-Feb,Tucson Open Invitational,Arizona,Phil Rodgers (2),263 (-17),"2,800",,,,/wiki/Tucson_Open_Invitational,/wiki/Tucson_Open,/wiki/Phil_Rodgers
1962,1962,PGA,8,25-Feb,Greater New Orleans Open Invitational,Louisiana,Bo Wininger (4),281 (-7),"4,300",,,,/wiki/Greater_New_Orleans_Open_Invitational,/wiki/Zurich_Classic_of_New_Orleans,/wiki/Bo_Wininger
1962,1962,PGA,9,4-Mar,Baton Rouge Open Invitational,Louisiana,Joe Campbell (2),274 (-14),"2,800",,,,/wiki/Baton_Rouge_Open_Invitational,/wiki/Baton_Rouge_Open_Invitational,/wiki/Joe_Campbell_(golfer)
1962,1962,PGA,10,11-Mar,Pensacola Open Invitational,Florida,Doug Sanders (9),270 (-18),"2,800",,,,/wiki/Pensacola_Open_Invitational,/wiki/Pensacola_Open,/wiki/Doug_Sanders
1962,1962,PGA,11,19-Mar,St. Petersburg Open Invitational,Florida,Bobby Nichols (1),272 (-16),"2,800",,,,/wiki/St._Petersburg_Open_Invitational,/wiki/St._Petersburg_Open_Invitational,/wiki/Bobby_Nichols
1962,1962,PGA,12,26-Mar,Doral C.C. Open Invitational,Florida,Billy Casper (15),283 (-5),"9,000",,,,/wiki/Doral_C.C._Open_Invitational,/wiki/Doral_Open,/wiki/Billy_Casper
1962,1962,PGA,13,1-Apr,Azalea Open,North Carolina,Dave Marr (2),281 (-7),"2,800",,,,/wiki/Azalea_Open,/wiki/Azalea_Open_Invitational,/wiki/Dave_Marr
1962,1962,MAJ,14,9-Apr,Masters Tournament,Georgia,Arnold Palmer (30),280 (-8),"20,000",,,Major championship,/wiki/1962_Masters_Tournament,/wiki/1962_Masters_Tournament,/wiki/Arnold_Palmer
1962,1962,PGA,15,15-Apr,Greater Greensboro Open,North Carolina,Billy Casper (16),275 (-9),"5,300",,,,/wiki/Greater_Greensboro_Open,/wiki/Wyndham_Championship,/wiki/Billy_Casper
1962,1962,PGA,16,23-Apr,Houston Classic,Texas,Bobby Nichols (2),278 (-2),"9,000",,,,/wiki/Houston_Classic,/wiki/Houston_Open,/wiki/Bobby_Nichols
1962,1962,PGA,17,29-Apr,Texas Open Invitational,Texas,Arnold Palmer (31),273 (-11),"4,300",,,,/wiki/Texas_Open_Invitational,/wiki/Valero_Texas_Open,/wiki/Arnold_Palmer
1962,1962,PGA,18,6-May,Tournament of Champions,Nevada,Arnold Palmer (32),276 (-12),"11,000",,,,/wiki/Tournament_of_Champions_(PGA_Tour),/wiki/Tournament_of_Champions_%28golf%29,/wiki/Arnold_Palmer
1962,1962,PGA,18,6-May,Waco Turner Open,Oklahoma,Johnny Pott (3),276 (-16),"2,800",,,,/wiki/Waco_Turner_Open,/wiki/Waco_Turner_Open,/wiki/Johnny_Pott
1962,1962,PGA,19,14-May,Colonial National Invitation,Texas,Arnold Palmer (33),281 (+1),"7,000",,,,/wiki/Colonial_National_Invitation,/wiki/Dean_%26_DeLuca_Invitational,/wiki/Arnold_Palmer
1962,1962,PGA,20,20-May,Hot Springs Open Invitational,Arkansas,Al Johnston (1),273 (-15),"2,800",,,,/wiki/Hot_Springs_Open_Invitational,/wiki/Arlington_Hotel_Open,/wiki/Al_Johnston
1962,1962,PGA,21,27-May,500 Festival Open Invitation,Indiana,Billy Casper (17),264 (-20),"9,000",,,,/wiki/500_Festival_Open_Invitation,/wiki/500_Festival_Open_Invitation,/wiki/Billy_Casper
1962,1962,PGA,22,3-Jun,Memphis Open Invitational,Tennessee,Lionel Hebert (4),267 (-13),"6,400",,,,/wiki/Memphis_Open_Invitational,/wiki/St._Jude_Classic,/wiki/Lionel_Hebert
1962,1962,PGA,23,10-Jun,Thunderbird Classic Invitational,New Jersey,Gene Littler (19),275 (-13),"25,000",,,,/wiki/Thunderbird_Classic_Invitational,/wiki/Thunderbird_Classic,/wiki/Gene_Littler
1962,1962,MAJ,24,17-Jun,U.S. Open,Pennsylvania,Jack Nicklaus (1),283 (-1),"17,500",,,Major championship,/wiki/1962_U.S._Open_(golf),/wiki/1962_U.S._Open_(golf),/wiki/Jack_Nicklaus
1962,1962,PGA,25,24-Jun,Eastern Open Invitational,Maryland,Doug Ford (18),279 (-9),"5,300",,,,/wiki/Eastern_Open_Invitational,/wiki/Eastern_Open_Invitational,/wiki/Doug_Ford_(golfer)
1962,1962,PGA,26,1-Jul,Western Open,Illinois,Jacky Cupit (2),281 (-3),"11,000",,,,/wiki/Western_Open,/wiki/Western_Open,/wiki/Jacky_Cupit
1962,1962,PGA,27,8-Jul,Buick Open Invitational,Michigan,Bill Collins (4),284 (-4),"9,000",,,,/wiki/Buick_Open_Invitational,/wiki/Buick_Open,/wiki/Bill_Collins_(golfer)
1962,1962,MAJ,28,13-Jul,The Open Championship,Scotland,Arnold Palmer (34),276 (-12),"3,920",,,Major championship,/wiki/1962_Open_Championship,/wiki/1962_Open_Championship,/wiki/Arnold_Palmer
1962,1962,PGA,28,15-Jul,Motor City Open,Michigan,Bruce Crampton (2),267 (-17),"5,300",,,,/wiki/Motor_City_Open,/wiki/Motor_City_Open,/wiki/Bruce_Crampton
1962,1962,MAJ,29,22-Jul,PGA Championship,Pennsylvania,Gary Player (6),278 (-2),"13,000",,,Major championship,/wiki/1962_PGA_Championship,/wiki/1962_PGA_Championship,/wiki/Gary_Player
1962,1962,PGA,30,29-Jul,Canadian Open,Canada,Ted Kroll (8),278 (-10),"4,300",,,,/wiki/Canadian_Open_(golf),/wiki/Canadian_Open_(golf),/wiki/Ted_Kroll
1962,1962,PGA,31,5-Aug,Insurance City Open Invitational,Connecticut,Bob Goalby (5),271 (-13),"5,300",,,,/wiki/Insurance_City_Open_Invitational,/wiki/Travelers_Championship,/wiki/Bob_Goalby
1962,1962,PGA,32,12-Aug,American Golf Classic,Ohio,Arnold Palmer (35),276 (-4),"9,000",,,,/wiki/American_Golf_Classic,/wiki/American_Golf_Classic,/wiki/Arnold_Palmer
1962,1962,PGA,33,19-Aug,St. Paul Open Invitational,Minnesota,Doug Sanders (10),269 (-19),"4,300",,,,/wiki/St._Paul_Open_Invitational,/wiki/St._Paul_Open_Invitational,/wiki/Doug_Sanders
1962,1962,PGA,34,26-Aug,Oklahoma City Open Invitational,Oklahoma,Doug Sanders (11),280 (-8),"5,300",,,,/wiki/Oklahoma_City_Open_Invitational,/wiki/Oklahoma_City_Open_Invitational,/wiki/Doug_Sanders
